Subject,Mean,Median,Mode,Standard Deviation,Variance,Minimum,Maximum,Range
math score,66.089,66.0,65,15.16308009600945,229.91899799799796,0,100,100
reading score,69.169,70.0,72,14.600191937252216,213.16560460460462,17,100,83
writing score,68.054,69.0,74,15.19565701086965,230.907991991992,10,100,90
